nohup: ignoring input
[exp_hsv] seed=0  device=cuda  colorspace=hsv  normalization=zscore
/home/stud/gnjinkap/miniforge3/envs/thesis/lib/python3.11/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Epoch 032/50 | train_loss=0.0493  train_acc=0.9838 | val_loss=0.3919  val_acc=0.8994 | 6.6s
Epoch 033/50 | train_loss=0.0468  train_acc=0.9837 | val_loss=0.4040  val_acc=0.8971 | 6.6s
Epoch 034/50 | train_loss=0.0447  train_acc=0.9845 | val_loss=0.3948  val_acc=0.9014 | 6.6s
Epoch 035/50 | train_loss=0.0397  train_acc=0.9862 | val_loss=0.4086  val_acc=0.9006 | 6.6s
Epoch 036/50 | train_loss=0.0397  train_acc=0.9861 | val_loss=0.4094  val_acc=0.9006 | 6.6s
Epoch 037/50 | train_loss=0.0370  train_acc=0.9876 | val_loss=0.4130  val_acc=0.9019 | 6.6s
Epoch 038/50 | train_loss=0.0358  train_acc=0.9874 | val_loss=0.4072  val_acc=0.9039 | 6.6s
Epoch 039/50 | train_loss=0.0362  train_acc=0.9875 | val_loss=0.4217  val_acc=0.9014 | 6.6s
Epoch 040/50 | train_loss=0.0310  train_acc=0.9890 | val_loss=0.4303  val_acc=0.9009 | 6.6s
Epoch 041/50 | train_loss=0.0328  train_acc=0.9885 | val_loss=0.4252  val_acc=0.9009 | 6.6s
Epoch 042/50 | train_loss=0.0312  train_acc=0.9891 | val_loss=0.4375  val_acc=0.8988 | 6.6s
Epoch 043/50 | train_loss=0.0284  train_acc=0.9900 | val_loss=0.4332  val_acc=0.9016 | 6.6s
Epoch 044/50 | train_loss=0.0279  train_acc=0.9904 | val_loss=0.4373  val_acc=0.9000 | 6.6s
Epoch 045/50 | train_loss=0.0282  train_acc=0.9907 | val_loss=0.4471  val_acc=0.9005 | 6.6s
Epoch 046/50 | train_loss=0.0278  train_acc=0.9899 | val_loss=0.4529  val_acc=0.8999 | 6.6s
Epoch 047/50 | train_loss=0.0243  train_acc=0.9917 | val_loss=0.4584  val_acc=0.9004 | 6.6s
Epoch 048/50 | train_loss=0.0258  train_acc=0.9906 | val_loss=0.4510  val_acc=0.8995 | 6.6s
Epoch 049/50 | train_loss=0.0230  train_acc=0.9921 | val_loss=0.4634  val_acc=0.9002 | 6.6s
Epoch 050/50 | train_loss=0.0223  train_acc=0.9927 | val_loss=0.4628  val_acc=0.8983 | 6.6s

Best val accuracy : 0.9039
Results saved to  : results_v9/exp_hsv_seed0
[exp_hsv] seed=1  device=cuda  colorspace=hsv  normalization=zscore
/home/stud/gnjinkap/miniforge3/envs/thesis/lib/python3.11/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Epoch 001/50 | train_loss=1.7628  train_acc=0.3289 | val_loss=1.4917  val_acc=0.4497 | 6.6s
Epoch 002/50 | train_loss=1.3727  train_acc=0.5016 | val_loss=1.1687  val_acc=0.5790 | 6.3s
Epoch 003/50 | train_loss=1.1713  train_acc=0.5813 | val_loss=1.1077  val_acc=0.6145 | 6.2s
Epoch 004/50 | train_loss=1.0406  train_acc=0.6299 | val_loss=0.9632  val_acc=0.6720 | 6.3s
Epoch 005/50 | train_loss=0.9491  train_acc=0.6695 | val_loss=0.9101  val_acc=0.6829 | 6.3s
Epoch 006/50 | train_loss=0.8713  train_acc=0.7028 | val_loss=0.8870  val_acc=0.7011 | 6.3s
Epoch 007/50 | train_loss=0.8191  train_acc=0.7197 | val_loss=0.7985  val_acc=0.7312 | 6.2s
Epoch 008/50 | train_loss=0.7688  train_acc=0.7379 | val_loss=0.7959  val_acc=0.7338 | 6.3s
Epoch 009/50 | train_loss=0.7387  train_acc=0.7504 | val_loss=0.7489  val_acc=0.7513 | 6.2s
Epoch 010/50 | train_loss=0.7090  train_acc=0.7591 | val_loss=0.7351  val_acc=0.7570 | 6.3s
